year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
1917,34.3979057591623,241.25,18.69768,historical,65.65582,-0.1854744,-0.3338539
1918,34.3979057591623,241.25,19.178331,historical,66.520996,0.29517746,0.53131944
1919,34.3979057591623,241.25,19.580675,historical,67.24522,0.6975212,1.2555382
1920,34.3979057591623,241.25,18.344698,historical,65.020454,-0.53845596,-0.96922076
1921,34.3979057591623,241.25,18.855507,historical,65.93991,-0.027647018,-0.049764633
1922,34.3979057591623,241.25,18.175264,historical,64.71548,-0.70788956,-1.2742012
1923,34.3979057591623,241.25,18.584923,historical,65.452866,-0.29823112,-0.536816
1924,34.3979057591623,241.25,18.58887,historical,65.45996,-0.29428482,-0.5297127
1925,34.3979057591623,241.25,19.204178,historical,66.56752,0.32102394,0.57784307
1926,34.3979057591623,241.25,18.467445,historical,65.2414,-0.41570854,-0.7482754
1927,34.3979057591623,241.25,19.366419,historical,66.85956,0.48326492,0.86987686
1928,34.3979057591623,241.25,20.066193,historical,68.11915,1.1830387,2.1294696
1929,34.3979057591623,241.25,18.90566,historical,66.03019,0.022506714,0.040512085
1930,34.3979057591623,241.25,18.794891,historical,65.8308,-0.08826256,-0.1588726
1931,34.3979057591623,241.25,18.757675,historical,65.76382,-0.12547874,-0.22586174
1932,34.3979057591623,241.25,17.491987,historical,63.485577,-1.3911667,-2.5041
1933,34.3979057591623,241.25,19.296816,historical,66.73427,0.41366196,0.74459153
1934,34.3979057591623,241.25,17.92063,historical,64.25713,-0.9625244,-1.732544
1935,34.3979057591623,241.25,18.455025,historical,65.21904,-0.4281292,-0.77063257
1936,34.3979057591623,241.25,19.078354,historical,66.341034,0.19519997,0.35135993
1937,34.3979057591623,241.25,19.975294,historical,67.95553,1.0921402,1.9658524
1938,34.3979057591623,241.25,18.502417,historical,65.30435,-0.3807373,-0.6853272
1939,34.3979057591623,241.25,18.054703,historical,64.49847,-0.82845116,-1.4912121
1940,34.3979057591623,241.25,17.905096,historical,64.22917,-0.97805786,-1.7605041
1941,34.3979057591623,241.25,18.399574,historical,65.11923,-0.48357964,-0.87044334
1942,34.3979057591623,241.25,18.697723,historical,65.6559,-0.18543053,-0.33377495
1943,34.3979057591623,241.25,18.409826,historical,65.13769,-0.47332764,-0.85198975
