year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
2096,34.3979057591623,241.25,22.022743,ssp245,71.64094,3.1395893,5.651261
2097,34.3979057591623,241.25,21.197653,ssp245,70.15578,2.314499,4.166098
2098,34.3979057591623,241.25,21.2901,ssp245,70.32218,2.4069462,4.3325033
2099,34.3979057591623,241.25,20.750986,ssp245,69.351776,1.8678322,3.362098
2100,34.3979057591623,241.25,22.537115,ssp245,72.5668,3.6539612,6.5771303
2015,34.3979057591623,241.25,19.264704,ssp585,66.67647,0.38154984,0.6867897
2016,34.3979057591623,241.25,20.698456,ssp585,69.25722,1.8153019,3.2675433
2017,34.3979057591623,241.25,20.552017,ssp585,68.99363,1.6688633,3.003954
2018,34.3979057591623,241.25,19.172318,ssp585,66.51017,0.2891636,0.52049446
2019,34.3979057591623,241.25,19.718643,ssp585,67.49356,0.8354893,1.5038807
2020,34.3979057591623,241.25,19.47542,ssp585,67.055756,0.5922661,1.0660789
2021,34.3979057591623,241.25,20.120672,ssp585,68.21721,1.2375183,2.2275329
2022,34.3979057591623,241.25,18.97613,ssp585,66.157036,0.09297562,0.1673561
2023,34.3979057591623,241.25,18.48039,ssp585,65.2647,-0.40276337,-0.72497404
2024,34.3979057591623,241.25,20.076002,ssp585,68.1368,1.1928482,2.1471267
2025,34.3979057591623,241.25,20.11099,ssp585,68.19978,1.2278366,2.210106
2026,34.3979057591623,241.25,18.762703,ssp585,65.772865,-0.12045097,-0.21681175
2027,34.3979057591623,241.25,19.9321,ssp585,67.87778,1.0489464,1.8881035
2028,34.3979057591623,241.25,19.949493,ssp585,67.90909,1.0663395,1.9194111
2029,34.3979057591623,241.25,20.593847,ssp585,69.068924,1.7106934,3.079248
2030,34.3979057591623,241.25,19.868034,ssp585,67.76247,0.98488045,1.7727848
2031,34.3979057591623,241.25,20.499975,ssp585,68.899956,1.6168213,2.9102783
2032,34.3979057591623,241.25,19.987846,ssp585,67.97813,1.1046925,1.9884465
2033,34.3979057591623,241.25,19.833311,ssp585,67.69996,0.95015717,1.7102829
2034,34.3979057591623,241.25,19.954575,ssp585,67.918236,1.0714207,1.9285572
2035,34.3979057591623,241.25,19.89607,ssp585,67.81293,1.0129166,1.8232498
2036,34.3979057591623,241.25,19.516815,ssp585,67.130264,0.63366127,1.1405903
2037,34.3979057591623,241.25,20.787188,ssp585,69.41694,1.9040337,3.4272606
2038,34.3979057591623,241.25,20.579752,ssp585,69.04356,1.696598,3.0538764
2039,34.3979057591623,241.25,21.377153,ssp585,70.478874,2.4939995,4.489199
2040,34.3979057591623,241.25,20.742416,ssp585,69.33635,1.8592625,3.3466725
2041,34.3979057591623,241.25,20.891352,ssp585,69.60443,2.0081978,3.614756
2042,34.3979057591623,241.25,21.165667,ssp585,70.0982,2.2825127,4.108523
2043,34.3979057591623,241.25,20.465805,ssp585,68.83845,1.5826511,2.848772
2044,34.3979057591623,241.25,21.782022,ssp585,71.20764,2.8988686,5.217963
2045,34.3979057591623,241.25,20.336843,ssp585,68.606316,1.4536896,2.6166413
2046,34.3979057591623,241.25,20.521523,ssp585,68.938736,1.6383686,2.9490635
2047,34.3979057591623,241.25,20.61129,ssp585,69.10033,1.7281361,3.1106448
2048,34.3979057591623,241.25,21.548033,ssp585,70.78646,2.6648788,4.796782
2049,34.3979057591623,241.25,21.184685,ssp585,70.13243,2.3015308,4.1427555
2050,34.3979057591623,241.25,20.728548,ssp585,69.311386,1.8453941,3.3217094
2051,34.3979057591623,241.25,21.248156,ssp585,70.24668,2.3650017,4.257003
2052,34.3979057591623,241.25,20.600199,ssp585,69.08036,1.7170448,3.0906806
2053,34.3979057591623,241.25,21.502449,ssp585,70.70441,2.6192951,4.714731
2054,34.3979057591623,241.25,21.643446,ssp585,70.958206,2.760292,4.968526
2055,34.3979057591623,241.25,21.781801,ssp585,71.207245,2.8986473,5.217565
2056,34.3979057591623,241.25,21.98107,ssp585,71.565926,3.0979156,5.576248
2057,34.3979057591623,241.25,21.506544,ssp585,70.71178,2.6233902,4.722102
2058,34.3979057591623,241.25,21.778425,ssp585,71.201164,2.8952713,5.2114882
2059,34.3979057591623,241.25,22.005915,ssp585,71.61065,3.1227608,5.6209693
2060,34.3979057591623,241.25,21.752184,ssp585,71.15393,2.86903,5.164254
2061,34.3979057591623,241.25,22.55218,ssp585,72.593925,3.6690254,6.6042457
2062,34.3979057591623,241.25,22.532614,ssp585,72.5587,3.6494598,6.569028
2063,34.3979057591623,241.25,21.345465,ssp585,70.42184,2.4623108,4.4321594
2064,34.3979057591623,241.25,21.934242,ssp585,71.481636,3.0510883,5.491959
2065,34.3979057591623,241.25,22.343987,ssp585,72.21918,3.4608326,6.229499
2066,34.3979057591623,241.25,22.195555,ssp585,71.951996,3.3124008,5.9623213
2067,34.3979057591623,241.25,21.661566,ssp585,70.990814,2.7784119,5.0011415
2068,34.3979057591623,241.25,21.49779,ssp585,70.69602,2.6146355,4.7063437
2069,34.3979057591623,241.25,22.07205,ssp585,71.72969,3.1888962,5.740013
2070,34.3979057591623,241.25,22.146156,ssp585,71.86308,3.2630024,5.8734045
2071,34.3979057591623,241.25,21.120796,ssp585,70.01743,2.2376423,4.027756
2072,34.3979057591623,241.25,23.461329,ssp585,74.23039,4.5781746,8.240714
2073,34.3979057591623,241.25,22.569735,ssp585,72.62552,3.6865807,6.635845
2074,34.3979057591623,241.25,22.355482,ssp585,72.23987,3.4723282,6.2501907
2075,34.3979057591623,241.25,23.324919,ssp585,73.984856,4.441765,7.995177
2076,34.3979057591623,241.25,22.729086,ssp585,72.91235,3.845932,6.9226775
2077,34.3979057591623,241.25,22.959154,ssp585,73.32648,4.076,7.3368006
2078,34.3979057591623,241.25,22.380362,ssp585,72.28465,3.4972076,6.294974
2079,34.3979057591623,241.25,23.723768,ssp585,74.70278,4.8406143,8.713106
2080,34.3979057591623,241.25,22.955986,ssp585,73.32078,4.072832,7.3310976
2081,34.3979057591623,241.25,22.31751,ssp585,72.17152,3.4343567,6.181842
2082,34.3979057591623,241.25,23.26927,ssp585,73.88469,4.386116,7.895009
2083,34.3979057591623,241.25,23.515814,ssp585,74.32846,4.63266,8.338788
2084,34.3979057591623,241.25,23.32982,ssp585,73.993675,4.4466667,8.004
2085,34.3979057591623,241.25,23.043615,ssp585,73.47851,4.1604614,7.4888306
2086,34.3979057591623,241.25,24.307009,ssp585,75.75262,5.423855,9.7629385
2087,34.3979057591623,241.25,23.046556,ssp585,73.4838,4.1634026,7.4941244
2088,34.3979057591623,241.25,23.46115,ssp585,74.23007,4.5779953,8.240392
2089,34.3979057591623,241.25,23.223162,ssp585,73.80169,4.340008,7.812014
2090,34.3979057591623,241.25,23.318388,ssp585,73.9731,4.435234,7.9834213
2091,34.3979057591623,241.25,23.132576,ssp585,73.63863,4.249422,7.648959
2092,34.3979057591623,241.25,22.989061,ssp585,73.38031,4.1059074,7.3906336
2093,34.3979057591623,241.25,23.119062,ssp585,73.61431,4.2359085,7.624635
2094,34.3979057591623,241.25,22.470114,ssp585,72.446205,3.5869598,6.4565277
2095,34.3979057591623,241.25,22.642479,ssp585,72.75646,3.759325,6.7667847
2096,34.3979057591623,241.25,22.750313,ssp585,72.95056,3.867159,6.9608855
2097,34.3979057591623,241.25,23.70201,ssp585,74.66362,4.8188553,8.67394
2098,34.3979057591623,241.25,24.394249,ssp585,75.90965,5.511095,9.9199705
2099,34.3979057591623,241.25,24.405264,ssp585,75.929474,5.52211,9.939798
2100,34.3979057591623,241.25,24.323797,ssp585,75.78284,5.4406433,9.793158

